,etiqueta
6857,0
7860,5
11508,5
15827,5
16943,5
19487,5
20798,3
21837,5
22294,5
23277,5
23739,4
23794,5
24040,5
33745,0
40887,3
45456,5
53978,0
56352,5
56545,5
57585,5
58922,5
61054,0
61062,5
61639,0
62983,1
66256,3
68463,5
69996,5
70082,0
70445,2
82641,5
85036,5
85567,0
89046,4
90682,5
94468,5
98942,0
99818,5
100580,5
104131,5
104559,5
109716,5
116950,0
125102,5
125419,5
131672,3
136877,5
148502,5
150697,5
154399,5
156982,5
162262,5
181007,5
186087,4
188703,2
189951,0
197745,5
198001,5
198285,1
198312,5
198461,5
198475,5
198628,5
198802,3
198829,5
198896,5
199957,5
200379,0
200461,5
200991,5
201127,2
201213,5
201537,5
202892,5
202916,3
204081,5
204800,3
204863,4
205185,5
205292,5
205842,5
205892,5
205939,5
206111,2
207175,0
207658,5
207832,3
207855,2
208460,0
208572,5
208796,0
209600,5
210128,5
210238,5
210366,3
210777,4
210927,0
211055,5
211060,5
211399,5
211411,5
211539,2
211760,5
212401,5
212691,2
213141,5
213775,5
213881,4
213972,1
214475,5
214750,5
214773,5
214836,5
215199,5
215982,5
216147,5
217626,5
217952,2
219547,5
219623,0
219687,5
220221,2
220231,5
220271,2
220617,5
220630,5
220655,5
220910,3
220924,5
221151,5
221208,5
221377,4
221573,2
221688,0
221818,5
221924,0
222124,5
222750,5
222841,5
222891,4
222917,5
223423,2
223890,5
225013,5
225651,5
226206,0
226406,5
226619,5
226738,5
226843,3
226962,5
227045,5
227071,5
227516,5
228456,5
228663,3
228749,5
229080,5
229092,2
229151,5
229915,5
230127,0
230340,0
230541,5
230553,1
230831,0
231880,1
232046,5
232298,5
232632,5
233347,5
233638,5
233693,1
233721,5
233768,5
235323,5
236436,5
236672,5
236913,1
236952,5
237117,3
237421,2
238147,5
238166,0
238907,5
239334,5
240198,5
240281,5
240370,5
240516,5
240888,5
242431,5
243528,5
243685,5
244088,2
245444,5
245657,5
246068,5
246113,5
246312,5
246336,5
246453,2
246461,5
246495,5
246749,4
247732,-1
248258,5
249249,4
249253,5
249575,5
249763,0
250006,5
250833,5
251150,5
251871,2
252059,2
252451,5
252617,5
252857,4
252954,5
253248,5
254537,4
255558,5
255750,4
255894,5
255928,2
255956,2
256013,5
256101,5
256283,5
256463,5
256482,5
256546,5
256550,0
256573,3
256598,5
257225,3
257650,1
258697,5
258882,5
258958,4
259518,5
259847,3
259880,4
260035,3
260183,3
260735,4
260855,2
260877,5
261182,5
261654,5
261751,5
263016,3
265339,4
265498,5
265942,2
265962,-1
266387,5
266724,5
268616,5
268625,2
268730,5
268874,2
268900,5
268925,5
268932,1
269622,5
270501,0
271609,5
271676,5
271875,0
272172,5
272305,3
272797,5
274492,5
274895,5
275004,0
275667,5
275801,1
275877,5
276679,3
276743,5
277146,5
277200,5
277319,5
277418,3
277950,5
278123,3
278189,5
278411,5
278478,5
280458,5
281098,3
281702,5
282008,3
282763,0
282858,5
283246,5
283771,5
284244,5
284487,5
284522,5
284524,5
284540,5
284541,2
284556,5
284561,5
284654,5
284680,5
284732,5
285571,5
285629,5
285831,5
286107,5
287415,4
287558,5
288492,5
288506,4
288964,5
289521,5
289595,5
290169,0
290691,2
290819,5
290906,5
291351,5
291523,5
292036,5
292674,5
292829,2
292854,5
293172,1
293855,0
293908,3
294015,5
294263,2
294267,4
294345,5
294501,1
294673,5
294862,3
295162,2
295295,2
296208,5
297070,5
297231,5
297945,5
298979,5
299731,3
299734,5
299738,3
299740,3
299741,4
299742,5
299743,3
299749,5
299751,5
299753,5
299754,5
299757,5
299758,3
299759,1
299760,1
299765,5
299767,5
299768,0
299773,5
299776,5
299778,5
299780,1
299781,0
299782,5
299784,5
299785,4
299788,5
299791,3
299792,5
299795,5
299796,5
299802,5
299805,5
299806,5
299808,5
299809,1
299810,1
299811,1
299812,2
299813,0
299815,1
299816,5
299818,5
299819,3
299821,5
299825,0
299826,0
299827,5
299830,5
299833,5
299834,5
299836,5
299838,3
299839,5
299841,2
299843,5
299848,5
299852,5
299856,2
299857,5
299859,-1
299864,5
299868,5
299870,5
299873,5
299875,5
299876,5
299878,5
299879,5
299881,3
299882,5
299883,2
299884,5
299885,5
299888,1
299891,5
299893,4
299894,5
299901,5
299903,5
299905,1
299906,3
299908,1
299910,3
299912,5
299914,0
299915,5
299918,5
299924,3
299928,5
299929,5
299930,5
299934,5
299935,2
299937,5
299942,5
299945,1
299946,5
299947,1
299948,5
299950,5
299951,5
299954,2
299956,5
299957,5
299958,5
299965,5
299966,5
299967,0
299971,5
299972,5
299977,5
299978,5
299979,3
299980,5
299981,5
299982,0
299983,2
299984,5
299988,5
299990,1
299992,5
299995,5
299996,5
299997,5
300001,5
300008,0
300011,3
300012,5
300013,5
300014,5
300016,5
300020,5
300024,2
300029,5
300030,5
300033,5
300036,5
300042,-1
300044,2
300048,5
300050,1
300052,5
300055,1
300060,3
300062,5
300063,5
300065,5
300066,3
300068,5
300069,5
300070,5
300075,5
300076,5
300080,3
300086,5
300088,5
300091,5
300097,5
300098,5
300099,5
300101,0
300104,5
300105,5
300106,5
300107,0
300108,2
300111,5
300114,5
300119,5
300120,2
300122,5
300125,0
300126,5
300127,5
300128,5
300131,5
300135,5
300138,5
300140,5
300142,5
300144,5
300152,5
300153,5
300154,5
300156,5
300158,5
300160,2
300161,5
300166,5
300167,3
300168,5
300175,2
300176,3
300178,3
300179,5
300180,5
300184,2
300185,3
300187,2
300189,5
300199,0
300201,5
300207,5
300209,0
300211,3
300212,5
300214,0
300217,5
300219,5
300220,5
300224,5
300228,5
300229,5
300231,1
300233,3
300235,5
300237,5
300238,5
300239,4
300240,3
300242,5
300244,1
300245,0
300250,5
300260,0
300261,2
300262,2
300268,5
300270,2
300272,0
300274,2
300276,4
300278,3
300281,5
300282,4
300289,5
300292,5
300293,5
300299,0
300301,2
300310,5
300313,5
300315,5
300317,5
300318,5
300320,2
300321,5
300322,5
300324,5
300326,5
300329,5
300335,5
300336,5
300337,0
300340,5
300342,3
300343,0
300347,5
300348,5
300350,5
300351,2
300352,3
300353,5
300357,3
300359,5
300360,5
300361,5
300362,1
300365,2
300369,5
300370,3
300373,4
300381,5
300384,1
300385,5
300386,5
300387,5
300398,5
300400,5
300420,3
300441,2
300442,3
